,AAL,AZN,BG,BP,GSK,HSBC,PRU,RIO,TSCO,VOD
2015-07-17,41.4,33.76,88.1,39.12,42.96,45.31,88.76,40.35,94.5,37.02
2015-07-18,41.4,33.76,88.1,39.12,42.96,45.31,88.76,40.35,94.5,37.02
2015-07-19,41.4,33.76,88.1,39.12,42.96,45.31,88.76,40.35,94.5,37.02
2015-07-20,40.55,33.925,87.76,38.75,43.02,45.61,88.65,40.01,93.13,37.21
2015-07-21,40.9,33.82,86.49,38.73,42.63,45.53,88.71,39.99,93.53,36.61
2015-07-22,41.43,33.61,87.52,37.91,42.3,45.18,88.75,39.03,94.78,36.44
2015-07-23,42.61,33.275,87.13,37.3,42.0,44.84,88.37,38.53,95.46,36.19
2015-07-24,39.63,32.88,86.28,36.57,41.39,44.07,87.85,37.39,93.57,36.91
2015-07-25,39.63,32.88,86.28,36.57,41.39,44.07,87.85,37.39,93.57,36.91
2015-07-26,39.63,32.88,86.28,36.57,41.39,44.07,87.85,37.39,93.57,36.91
2015-07-27,40.14,32.71,85.56,36.05,41.6,43.89,87.03,36.97,92.08,36.61
2015-07-28,41.17,32.81,86.59,37.29,41.71,44.8,88.0,37.78,91.72,36.87
2015-07-29,40.73,33.01,85.61,37.39,42.62,45.08,89.56,38.49,92.28,37.61
2015-07-30,40.27,33.74,81.25,37.68,43.59,45.01,89.67,38.2,91.99,37.77
2015-07-31,40.1,33.79,79.85,36.97,43.44,45.07,88.36,38.62,92.52,37.78
2015-08-01,40.1,33.79,79.85,36.97,43.44,45.07,88.36,38.62,92.52,37.78
2015-08-02,40.1,33.79,79.85,36.97,43.44,45.07,88.36,38.62,92.52,37.78
2015-08-03,41.71,33.94,79.81,36.48,43.51,45.17,89.14,37.77,91.34,37.56
2015-08-04,42.74,34.34,79.09,36.54,43.45,45.3,89.84,38.5,92.27,37.63
2015-08-05,42.96,34.54,78.67,35.87,44.17,46.18,89.86,39.47,93.35,38.25
2015-08-06,42.18,34.24,77.24,35.88,44.9,45.73,90.66,40.27,91.17,37.94
2015-08-07,41.49,33.69,76.22,35.68,44.82,45.49,89.41,39.8,91.7,37.71
2015-08-08,41.49,33.69,76.22,35.68,44.82,45.49,89.41,39.8,91.7,37.71
2015-08-09,41.49,33.69,76.22,35.68,44.82,45.49,89.41,39.8,91.7,37.71
2015-08-10,41.68,34.02,76.99,36.28,45.14,45.46,91.68,41.6,93.11,37.97
2015-08-11,42.7,34.05,76.26,36.05,44.78,45.18,89.45,40.07,93.47,37.56
2015-08-12,42.52,33.38,77.32,36.44,44.07,43.79,88.48,39.29,92.76,37.42
2015-08-13,42.67,33.43,76.61,35.92,43.89,43.78,89.27,38.44,93.2,37.3
2015-08-14,42.88,33.46,76.31,35.77,43.97,43.76,90.1,38.59,93.1,37.53
2015-08-15,42.88,33.46,76.31,35.77,43.97,43.76,90.1,38.59,93.1,37.53
2015-08-16,42.88,33.46,76.31,35.77,43.97,43.76,90.1,38.59,93.1,37.53
2015-08-17,43.95,33.61,76.2,35.53,44.16,43.47,89.31,38.24,93.94,37.45
2015-08-18,43.63,33.72,75.56,35.25,43.94,43.59,89.13,37.77,94.09,37.55
2015-08-19,43.53,33.35,73.74,34.66,43.3,42.37,87.7,36.57,93.35,36.97
2015-08-20,41.98,32.55,72.91,34.38,42.71,41.76,84.89,36.74,89.65,36.18
